employee_id,age,generation,gender,department,job_level,is_manager,tenure_years,salary_usd,salary_vs_market_pct,work_arrangement,rto_mandate,days_in_office_required,commute_minutes,prefers_remote,flexibility_importance,ai_tools_adoption,weekly_hours,after_hours_work,burnout_score,manager_relationship_score,manager_1on1_per_month,engagement_score,promotions_last_2y,career_growth_score,recent_layoff_round,team_size,attrition_reason,attrition
EMP000000,26,Gen Z,Female,Marketing,Junior,0,5.5,70000,5.2,onsite,0,4,44,1,3,regular,49,0,3.6,2,0,62,0,2,0,22,stayed,0
EMP000001,35,Millennial,Female,Sales,Junior,0,0.5,64000,-15.5,onsite,0,5,48,1,2,light,44,0,4.8,3,2,79,1,2,0,24,stayed,0
EMP000002,23,Gen Z,Male,HR,Senior,0,2.0,142000,-15.9,hybrid,1,3,35,1,3,regular,32,0,10.0,1,2,43,0,4,1,3,poor_management,1
EMP000003,20,Gen Z,Female,Sales,Manager,1,2.2,147000,2.6,onsite,0,5,16,0,5,none,51,1,4.3,1,4,64,1,3,0,24,stayed,0
EMP000004,40,Millennial,Female,Data,Senior,0,6.0,141000,11.3,hybrid,1,4,55,1,4,regular,52,0,2.9,1,1,92,0,2,0,5,stayed,0
EMP000005,30,Millennial,Male,Sales,Mid,0,1.7,100000,11.8,remote,1,3,148,1,3,regular,50,0,4.8,1,1,60,0,3,0,4,rto_inflexibility,1
EMP000006,45,Gen X,Female,Marketing,Lead,1,7.0,115000,-20.4,hybrid,1,5,45,0,5,light,47,0,6.4,2,1,78,0,1,0,12,poor_management,1
EMP000007,37,Millennial,Female,Marketing,Mid,0,1.7,73000,2.2,onsite,0,4,7,0,2,power,43,0,3.4,2,2,76,0,5,1,17,stayed,0
EMP000008,20,Gen Z,Male,Engineering,Mid,0,1.3,95000,-1.7,hybrid,0,3,6,0,1,light,49,0,6.5,4,0,69,0,1,1,7,stayed,0
EMP000009,30,Millennial,Female,HR,Mid,0,2.6,72000,-7.8,hybrid,1,3,33,0,5,light,43,0,1.6,1,2,77,1,2,1,5,stayed,0
EMP000010,24,Gen Z,Female,Sales,Senior,0,2.0,125000,12.1,remote,1,2,38,1,1,regular,38,1,5.7,2,1,91,0,2,1,21,poor_management,1
EMP000011,31,Millennial,Male,Marketing,Mid,0,4.4,107000,-5.2,hybrid,1,5,66,0,3,power,38,0,6.4,5,2,63,2,2,0,9,stayed,0
EMP000012,35,Millennial,Female,Product,Senior,0,2.2,84000,8.5,remote,1,1,52,0,5,light,45,0,5.2,5,1,76,0,2,0,8,stayed,0
EMP000013,41,Millennial,Female,Operations,Mid,0,4.8,87000,7.4,onsite,1,5,19,1,1,regular,47,0,7.9,5,0,78,1,3,0,4,stayed,0
EMP000014,20,Gen Z,Female,Engineering,Junior,0,9.8,52000,11.0,remote,0,0,5,1,4,regular,45,0,6.0,5,2,70,0,4,0,23,stayed,0
EMP000015,22,Gen Z,Male,Product,Junior,0,6.9,56000,-4.8,onsite,1,5,19,1,4,regular,43,0,6.4,4,1,63,0,1,1,24,rto_inflexibility,1
EMP000016,29,Millennial,Female,Finance,Senior,0,4.6,174000,-11.8,remote,0,0,19,0,2,regular,33,0,4.9,1,2,41,0,4,0,22,stayed,0
EMP000017,23,Gen Z,Female,Product,Junior,0,2.6,62000,-6.1,onsite,0,4,9,1,2,power,47,0,6.8,5,0,80,2,4,0,22,stayed,0
