model_id,hf_downloads_30d,hf_likes,recorded_at
Qwen/Qwen3-0.6B,18497660,1250,2026-05-19 08:02:26.173196
openai-community/gpt2,17034548,3243,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-1.5B-Instruct,13480118,700,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-7B-Instruct,12975576,1284,2026-05-19 08:02:26.173196
Qwen/Qwen3-8B,11619105,1093,2026-05-19 08:02:26.173196
meta-llama/Llama-3.1-8B-Instruct,10785213,5852,2026-05-19 08:02:26.173196
facebook/opt-125m,9414291,252,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-3B-Instruct,9116964,460,2026-05-19 08:02:26.173196
meta-llama/Llama-3.2-1B-Instruct,7743597,1410,2026-05-19 08:02:26.173196
openai/gpt-oss-20b,7705517,4621,2026-05-19 08:02:26.173196
Qwen/Qwen3-4B,7247240,613,2026-05-19 08:02:26.173196
Qwen/Qwen3-32B,7027876,693,2026-05-19 08:02:26.173196
Qwen/Qwen3-4B-Instruct-2507,6667164,847,2026-05-19 08:02:26.173196
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,5959914,6,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-0.5B-Instruct,4927203,517,2026-05-19 08:02:26.173196
openai/gpt-oss-120b,4800777,4786,2026-05-19 08:02:26.173196
dphn/dolphin-2.9.1-yi-1.5-34b,4728380,63,2026-05-19 08:02:26.173196
Qwen/Qwen2-1.5B-Instruct,4641934,162,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-V3.2,4289450,1434,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-R1,3924613,13331,2026-05-19 08:02:26.173196
Qwen/Qwen3Guard-Gen-0.6B,3875174,73,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-V4-Pro,3622763,4050,2026-05-19 08:02:26.173196
Qwen/Qwen3-1.7B,3588521,472,2026-05-19 08:02:26.173196
hmellor/tiny-random-LlamaForCausalLM,3544773,0,2026-05-19 08:02:26.173196
mistralai/Mistral-7B-Instruct-v0.2,3274617,3142,2026-05-19 08:02:26.173196
distilbert/distilgpt2,3230234,630,2026-05-19 08:02:26.173196
EleutherAI/pythia-160m,3027273,42,2026-05-19 08:02:26.173196
google/gemma-3-270m,2977158,1024,2026-05-19 08:02:26.173196
unsloth/Qwen3-Coder-Next-GGUF,2967814,634,2026-05-19 08:02:26.173196
meta-llama/Meta-Llama-3-8B,2786497,6535,2026-05-19 08:02:26.173196
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2656550,1586,2026-05-19 08:02:26.173196
Andycurrent/Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF,2638721,25,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-Coder-7B-Instruct,2489603,709,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-14B-Instruct,2476611,336,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-0.5B,2461463,406,2026-05-19 08:02:26.173196
Qwen/Qwen3-0.6B-FP8,2456622,60,2026-05-19 08:02:26.173196
meta-llama/Llama-3.2-3B-Instruct,2400226,2134,2026-05-19 08:02:26.173196
Qwen/Qwen3-14B,2370842,398,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-7B-Instruct-AWQ,2323459,43,2026-05-19 08:02:26.173196
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,2284837,4,2026-05-19 08:02:26.173196
nvidia/Gemma-4-31B-IT-NVFP4,2215862,484,2026-05-19 08:02:26.173196
Qwen/Qwen3-8B-AWQ,2199961,42,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-R1-0528,2088725,2448,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-V4-Flash,1998112,1151,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-14B-Instruct-AWQ,1996702,35,2026-05-19 08:02:26.173196
EleutherAI/pythia-70m-deduped,1918677,28,2026-05-19 08:02:26.173196
Qwen/Qwen3-Coder-30B-A3B-Instruct,1837591,1066,2026-05-19 08:02:26.173196
moonshotai/Kimi-K2-Instruct-0905,1829023,711,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-7B,1803105,284,2026-05-19 08:02:26.173196
meta-llama/Llama-3.2-1B,1742726,2385,2026-05-19 08:02:26.173196
Qwen/Qwen3-30B-A3B,1714626,887,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-Coder-14B-Instruct-AWQ,1705177,17,2026-05-19 08:02:26.173196
HuggingFaceTB/SmolLM2-135M-Instruct,1703817,321,2026-05-19 08:02:26.173196
Qwen/Qwen3-14B-AWQ,1690803,64,2026-05-19 08:02:26.173196
nvidia/DeepSeek-R1-0528-NVFP4-v2,1683254,23,2026-05-19 08:02:26.173196
meta-llama/Meta-Llama-3-8B-Instruct,1680747,4522,2026-05-19 08:02:26.173196
zai-org/GLM-5-FP8,1650353,175,2026-05-19 08:02:26.173196
prefeitura-rio/Rio-3.0-Open-Mini,1625457,8,2026-05-19 08:02:26.173196
apple/OpenELM-1_1B-Instruct,1612419,75,2026-05-19 08:02:26.173196
microsoft/Phi-4-mini-instruct,1559939,739,2026-05-19 08:02:26.173196
ibm-research/PowerMoE-3b,1454822,20,2026-05-19 08:02:26.173196
Qwen/Qwen2-0.5B-Instruct,1440477,200,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-Coder-14B-Instruct,1424640,156,2026-05-19 08:02:26.173196
openai-community/gpt2-large,1376550,351,2026-05-19 08:02:26.173196
meta-llama/Llama-3.1-8B,1359486,2193,2026-05-19 08:02:26.173196
