Row_ID,Year,Era,Scenario,Region,Demographic_Group,Education_Level,Profession,AI_Tool_Category,Weekly_AI_Usage_Hours,AI_Dependency_Score,Human_Creativity_Score,Critical_Thinking_Ability,Problem_Solving_Skills,Emotional_Intelligence,Innovation_Rate,Learning_Speed,Human_Decision_Making_Involvement,Social_Interaction_Quality,Cognitive_Load_Index,Mental_Wellbeing_Score,AI_Tool_Proficiency,Adaptability_Score,Attention_Span_Minutes,Positive_Effects_of_AI,Negative_Effects_of_AI,Outcome_Label
1,2064,Symbiotic Intelligence Age,Pessimistic,East Asia,Young Adult (26-35),Undergraduate,Technology,AGI-Adjacent Tools,28.2,71.57,42.27,36.21,52.47,48.54,38.73,43.38,45.15,43.94,75.1,47.7,64.66,40.02,24.16,Cross-domain creativity boosts,Reduced independent thinking; Algorithmic bias reinforcement; Digital addiction patterns; Privacy erosion through behavioral data,Cognitive Decline Risk
2,2029,AI Mainstream Adoption,Mixed,Latin America,Senior (51-65),Undergraduate,Healthcare,None,10.0,16.36,67.29,72.11,59.67,73.4,42.5,61.3,82.28,70.24,52.64,74.85,28.18,57.0,46.35,Democratized access to expertise; Broader knowledge access; Personalized learning pathways,Memory atrophy from AI offloading,Stagnant / Moderate
3,2047,Post-Singularity Transition,Neutral,Latin America,Youth (18-25),Secondary,Science & Research,Analytical AI,28.0,40.7,63.52,57.29,67.83,64.49,57.68,64.38,68.87,67.2,60.5,82.08,42.99,56.79,37.3,Faster skill acquisition,Privacy erosion through behavioral data,Stagnant / Moderate
4,2069,Symbiotic Intelligence Age,Neutral,East Asia,Senior (51-65),PhD/Research,Technology,Full AGI Integration,35.2,70.65,66.6,57.26,76.82,64.5,67.88,81.39,55.05,59.41,60.15,55.34,66.65,65.33,56.93,Reduced cognitive load on repetitive tasks,Decreased social bonding,Positive Growth
5,2048,Post-Singularity Transition,Optimistic,South Asia,Young Adult (26-35),Undergraduate,Entrepreneurship,Multi-modal AI,24.4,41.76,76.48,71.62,84.78,69.62,78.38,73.46,73.01,67.83,61.62,77.47,50.39,75.56,42.53,Increased productivity for deep work; Reduced cognitive load on repetitive tasks; Democratized access to expertise; Enhanced emotional regulation through AI coaching,,Positive Growth
6,2034,AI-Augmented Society,Optimistic,Latin America,Elder (65+),PhD/Research,Social Sciences,None,15.0,24.12,62.2,58.85,69.59,65.94,71.54,63.86,87.91,62.01,56.5,65.93,40.98,55.48,53.87,Greater scientific discovery rates; Improved accessibility for disabled individuals,,Stagnant / Moderate
7,2037,Deep AI Dependency Era,Optimistic,Europe,Elder (65+),Secondary,Finance,Basic Assistants,15.7,32.13,62.95,58.73,64.76,62.19,57.46,60.43,84.33,66.36,59.67,67.43,44.87,66.48,49.59,Broader knowledge access; Faster skill acquisition,,Stagnant / Moderate
8,2066,Symbiotic Intelligence Age,Mixed,South Asia,Young Adult (26-35),PhD/Research,Law,Multi-modal AI,37.3,69.78,46.72,61.09,71.62,51.9,50.75,71.31,53.95,74.44,67.9,57.71,59.15,70.47,58.72,Faster skill acquisition; Augmented artistic expression; Improved mental health support tools,Memory atrophy from AI offloading,Stagnant / Moderate
9,2032,AI-Augmented Society,Neutral,Africa,Adult (36-50),Postgraduate,Finance,None,15.2,20.51,65.11,67.2,71.05,63.31,61.42,58.3,90.54,68.97,64.29,45.92,37.87,55.06,50.79,Faster skill acquisition,Algorithmic bias reinforcement; Job displacement anxiety,Positive Growth
10,2051,Cognitive Co-Evolution,Neutral,South Asia,Senior (51-65),Primary,Science & Research,Multi-modal AI,21.1,48.24,66.58,55.41,66.2,62.13,64.23,73.85,72.85,64.7,69.3,66.59,57.5,64.82,55.76,Broader knowledge access,Algorithmic bias reinforcement; Declining handwriting and manual skills; Reduced physical-world problem solving,Stagnant / Moderate
11,2039,Deep AI Dependency Era,Optimistic,Middle East,Youth (18-25),Secondary,Engineering,Basic Assistants,10.6,31.38,66.23,67.86,63.15,62.49,59.88,69.73,77.02,66.49,59.1,69.11,32.62,62.45,61.45,Reduced cognitive load on repetitive tasks; Broader knowledge access; Improved accessibility for disabled individuals; Accelerated innovation cycles,Decreased self-confidence in decisions; Reduced risk-taking in innovation,Stagnant / Moderate
12,2042,Post-Singularity Transition,Mixed,Latin America,Elder (65+),Postgraduate,Finance,Analytical AI,18.3,28.65,77.68,51.52,32.93,56.13,48.93,58.97,74.52,58.91,51.25,47.82,36.33,64.96,54.93,Enhanced emotional regulation through AI coaching; Accelerated innovation cycles,Privacy erosion through behavioral data; Loss of deep reading habits,Stagnant / Moderate
13,2027,AI Mainstream Adoption,Mixed,Middle East,Youth (18-25),Undergraduate,Education,None,0,6.43,64.33,68.72,80.6,72.09,42.39,54.09,79.61,61.62,51.18,64.49,26.53,69.55,55.34,Improved accessibility for disabled individuals; Improved creative brainstorming,Digital addiction patterns; Decreased social bonding; Over-reliance on AI outputs,Stagnant / Moderate
14,2067,Symbiotic Intelligence Age,Optimistic,Oceania,Young Adult (26-35),Secondary,Law,Multi-modal AI,28.8,66.51,88.63,86.32,89.55,75.47,81.2,85.05,77.18,75.91,80.78,77.19,67.52,82.53,61.48,Cross-domain creativity boosts; Better data-driven decisions; Reduced cognitive load on repetitive tasks; Augmented artistic expression,,Positive Growth
15,2046,Post-Singularity Transition,Optimistic,Southeast Asia,Youth (18-25),Postgraduate,Science & Research,Analytical AI,18.2,38.25,69.15,67.34,75.69,71.11,61.59,80.2,80.33,71.93,57.65,65.57,49.9,70.21,55.92,Faster skill acquisition; Reduced cognitive load on repetitive tasks; Real-time language and cultural bridging; Enhanced collaborative intelligence,Privacy erosion through behavioral data,Positive Growth
16,2036,Deep AI Dependency Era,Optimistic,South Asia,Senior (51-65),Postgraduate,Skilled Trades,None,5.5,24.02,61.97,65.6,72.19,63.9,57.53,55.86,78.02,65.06,65.23,68.32,27.9,68.86,54.31,Real-time language and cultural bridging; Improved mental health support tools; Augmented artistic expression,Attention span deterioration; Polarization through AI echo chambers,Positive Growth
17,2071,Symbiotic Intelligence Age,Pessimistic,Latin America,Young Adult (26-35),Secondary,Healthcare,AGI-Adjacent Tools,41.3,93.05,33.31,32.49,46.77,42.14,34.62,58.01,29.09,35.59,71.59,42.24,90.63,49.68,32.51,,Decreased self-confidence in decisions; Privacy erosion through behavioral data; Declining handwriting and manual skills,Cognitive Decline Risk
18,2025,Early AI Integration,Pessimistic,Oceania,Young Adult (26-35),Postgraduate,Skilled Trades,None,0.5,17.07,78.89,70.15,70.4,59.79,62.51,53.79,87.37,62.62,52.38,70.08,19.67,50.84,58.73,,Decreased self-confidence in decisions; Reduced tolerance for ambiguity; Over-reliance on AI outputs; Creativity homogenization,Cognitive Decline Risk
19,2057,Cognitive Co-Evolution,Pessimistic,Latin America,Adult (36-50),Undergraduate,Business,Analytical AI,44.7,75.11,33.21,36.36,61.31,43.8,40.24,45.38,59.3,41.58,80.44,40.64,69.25,49.68,30.76,Cross-domain creativity boosts; Optimized problem-solving frameworks,Declining handwriting and manual skills; Attention span deterioration,Cognitive Decline Risk
20,2029,AI Mainstream Adoption,Pessimistic,Southeast Asia,Elder (65+),Secondary,Law,Basic Assistants,5.3,23.94,67.83,80.5,66.86,62.8,44.67,63.82,79.91,69.27,45.77,73.4,22.36,57.11,54.47,,Attention span deterioration; Job displacement anxiety; Digital addiction patterns,Cognitive Decline Risk
21,2038,Deep AI Dependency Era,Neutral,South Asia,Senior (51-65),Undergraduate,Engineering,Basic Assistants,16.6,27.85,61.43,63.99,62.83,59.3,57.57,56.04,82.97,58.18,45.58,60.29,26.26,55.56,54.14,Faster skill acquisition; Cross-domain creativity boosts,Job displacement anxiety,Stagnant / Moderate
22,2072,Symbiotic Intelligence Age,Optimistic,Europe,Elder (65+),Secondary,Law,Full AGI Integration,40.6,79.68,80.63,95.62,78.08,85.31,77.84,92.31,77.84,85.9,74.27,82.57,79.39,85.86,67.52,Improved creative brainstorming; Greater scientific discovery rates,,Positive Growth
23,2068,Symbiotic Intelligence Age,Pessimistic,North America,Adult (36-50),PhD/Research,Social Sciences,Full AGI Integration,38.4,79.24,33.31,47.23,59.29,41.33,38.58,47.25,38.61,50.93,80.86,37.59,82.23,39.72,28.46,Reduced cognitive load on repetitive tasks; Democratized access to expertise,Existential anxiety from AI advancement; Memory atrophy from AI offloading,Cognitive Decline Risk
24,2066,Symbiotic Intelligence Age,Pessimistic,Latin America,Senior (51-65),Secondary,Entrepreneurship,Multi-modal AI,48.1,78.21,34.79,40.43,57.03,34.39,54.58,62.73,34.81,33.75,71.76,35.04,74.9,26.34,23.69,Faster medical diagnostics,Reduced risk-taking in innovation; Privacy erosion through behavioral data; Creativity homogenization,Cognitive Decline Risk
25,2053,Cognitive Co-Evolution,Pessimistic,Latin America,Young Adult (26-35),Postgraduate,Unemployed/Retired,Creative AI,35.1,63.35,46.98,44.08,49.58,52.3,36.16,54.83,58.39,57.47,58.83,41.58,57.05,47.89,34.82,Greater scientific discovery rates; Enhanced emotional regulation through AI coaching,Reduced tolerance for ambiguity; Reduced independent thinking,Cognitive Decline Risk
26,2039,Deep AI Dependency Era,Mixed,Southeast Asia,Elder (65+),Undergraduate,Technology,Creative AI,12.2,28.24,68.7,59.45,47.6,67.6,49.66,51.04,71.09,63.33,58.45,68.06,35.07,65.78,28.48,Accelerated innovation cycles,Skill atrophy in non-AI domains,Stagnant / Moderate
27,2036,Deep AI Dependency Era,Optimistic,Oceania,Youth (18-25),PhD/Research,Skilled Trades,Basic Assistants,17.8,24.43,58.79,69.14,64.72,64.19,61.34,64.41,77.15,80.83,50.83,58.81,31.52,65.53,48.48,Greater scientific discovery rates; Reduced cognitive load on repetitive tasks,Declining handwriting and manual skills,Stagnant / Moderate
28,2067,Symbiotic Intelligence Age,Pessimistic,Europe,Young Adult (26-35),Secondary,Healthcare,AGI-Adjacent Tools,25.7,74.82,45.82,48.26,41.5,65.49,48.14,59.63,32.52,35.35,73.56,52.32,67.42,46.24,38.27,Enhanced emotional regulation through AI coaching; Reduced cognitive load on repetitive tasks,Loss of deep reading habits; Existential anxiety from AI advancement,Cognitive Decline Risk
29,2059,Cognitive Co-Evolution,Neutral,East Asia,Youth (18-25),Primary,Healthcare,Multi-modal AI,17.9,55.49,73.9,61.64,67.04,64.53,66.2,81.51,61.56,57.36,61.43,47.23,59.15,51.11,32.66,Improved accessibility for disabled individuals; Personalized learning pathways,Decreased social bonding,Positive Growth
30,2074,Symbiotic Intelligence Age,Optimistic,Oceania,Adult (36-50),Secondary,Science & Research,Full AGI Integration,41.8,76.7,84.36,78.02,88.63,84.11,85.72,85.07,70.91,80.57,70.55,81.65,81.38,88.73,62.94,Faster medical diagnostics; Enhanced research capabilities; Cross-domain creativity boosts; Faster skill acquisition,Algorithmic bias reinforcement; Skill atrophy in non-AI domains,Positive Growth
31,2051,Cognitive Co-Evolution,Neutral,Southeast Asia,Senior (51-65),Postgraduate,Creative Arts,Multi-modal AI,25.2,47.87,65.46,62.44,66.64,69.0,58.19,61.93,63.81,67.75,60.92,82.73,53.64,52.68,36.66,Augmented artistic expression; Increased productivity for deep work,Reduced independent thinking,Positive Growth
32,2036,Deep AI Dependency Era,Optimistic,East Asia,Senior (51-65),Undergraduate,Business,None,9.1,26.65,57.0,61.79,63.7,67.29,59.07,66.58,77.85,79.26,56.55,65.29,25.29,58.53,48.63,Personalized learning pathways; Reduced cognitive load on repetitive tasks; Optimized problem-solving frameworks,,Stagnant / Moderate
33,2069,Symbiotic Intelligence Age,Optimistic,Oceania,Adult (36-50),Undergraduate,Business,Full AGI Integration,32.4,69.5,90.0,69.99,86.53,85.97,75.21,96.07,57.08,80.35,74.02,76.38,70.62,79.46,68.1,Faster medical diagnostics; Enhanced emotional regulation through AI coaching; Greater scientific discovery rates; Improved creative brainstorming,Reduced tolerance for ambiguity,Positive Growth
