transaction_id,year,month,quarter,country,iso3_code,region,platform,game_edition,sales_channel,retailer,units_sold,gross_revenue_usd,average_selling_price_usd,discount_percentage,digital_sales_percentage,physical_sales_percentage,new_customers,returning_customers,estimated_active_players,peak_concurrent_players,online_players,story_mode_players,gta_online_players,dlc_revenue_usd,shark_card_revenue_usd,average_playtime_hours,average_session_length_minutes,holiday_season,major_sale_event,marketing_campaign,customer_rating,review_count,refund_rate_percentage,currency,exchange_rate_to_usd,internet_penetration_percentage,gaming_market_size,population_millions,gdp_per_capita_usd,release_phase,weekend_sales_percentage,weekday_sales_percentage,season,special_event,top_game_category,platform_generation
GTA5-100039,2013,9,3,Algeria,DZA,Africa,PS3,Premium Edition,Physical,Local Retailer,263,5141.65,19.55,34.8,37.4,62.6,176,87,17159,969,12090,5069,12090,10572.36,29075.75,14.5,44.2,0,Xbox Sale,1,4.84,7,4.79,DZD,136.1543,49.8,4.82,38.28,5621.76,Launch,41.4,58.6,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100005,2013,9,3,Argentina,ARG,South America,PS3,Standard Edition,Physical,Local Retailer,978,13672.44,13.98,53.4,45.8,54.2,668,310,19365,1335,11684,7681,11684,4971.33,19464.65,13.6,39.5,0,Xbox Sale,1,4.7,27,4.18,ARS,344.1386,73.4,23.48,42.31,14452.74,Launch,40.8,59.2,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100093,2013,9,3,Argentina,ARG,South America,Xbox 360,Premium Edition,Physical,Walmart,390,7109.7,18.23,39.2,39.0,61.0,217,173,18226,1569,13384,4842,13384,4800.11,17615.07,15.5,50.4,0,Xbox Sale,1,4.35,3,5.89,ARS,350.3416,73.4,23.96,42.31,14748.61,Launch,51.6,48.4,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100072,2013,9,3,Armenia,ARM,Asia,PS3,Standard Edition,Physical,Best Buy,241,3778.88,15.68,47.7,42.6,57.4,132,109,8264,701,5593,2671,5593,2242.93,5846.28,13.6,46.3,0,Xbox Sale,1,4.41,7,3.66,AMD,408.7095,64.4,0.14,2.92,3879.16,Launch,42.3,57.7,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100034,2013,9,3,Australia,AUS,Oceania,PS3,Legacy Edition,Physical,GameStop,2564,37767.72,14.73,50.9,34.5,65.5,1629,935,101043,6751,74957,26086,74957,50769.83,107053.06,18.2,42.1,0,Xbox Sale,1,4.31,38,5.07,AUD,1.481,89.4,231.44,23.17,69365.83,Launch,43.4,56.6,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100036,2013,9,3,Austria,AUT,Europe,PS3,Standard Edition,Physical,GameStop,864,15439.68,17.87,40.4,38.0,62.0,521,343,36709,3244,20946,15763,20946,8312.48,22850.34,13.9,24.7,0,Xbox Sale,1,4.52,12,2.86,EUR,0.8995,87.4,22.45,8.56,48208.96,Launch,40.8,59.2,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100037,2013,9,3,Azerbaijan,AZE,Asia,Xbox 360,Standard Edition,Physical,Best Buy,311,5977.42,19.22,35.9,36.4,63.6,186,125,10586,576,7648,2938,7648,4444.82,13336.84,15.6,44.0,0,Xbox Sale,1,4.65,7,1.77,AZN,1.7192,72.4,1.47,9.57,7981.84,Launch,45.5,54.5,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100028,2013,9,3,Bahrain,BHR,Asia,PS3,Standard Edition,Physical,Target,316,5021.24,15.89,47.0,39.2,60.8,186,130,13883,962,9769,4114,9769,9266.76,23354.85,18.7,49.3,0,Xbox Sale,1,4.41,4,1.96,BHD,0.3813,94.8,0.73,1.31,24770.75,Launch,45.6,54.4,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100044,2013,9,3,Bangladesh,BGD,Asia,PS3,Standard Edition,Physical,Target,395,7852.6,19.88,33.7,34.8,65.2,261,134,14260,829,9963,4297,9963,6726.77,15649.91,15.1,60.2,0,Xbox Sale,1,4.54,6,3.71,BDT,110.9364,43.0,4.77,158.15,1177.69,Launch,61.9,38.1,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100050,2013,9,3,Belgium,BEL,Europe,PS3,Criminal Enterprise Starter Pack,Physical,Local Retailer,1145,15904.05,13.89,53.7,39.7,60.3,722,423,42584,2811,27951,14633,27951,27384.79,62895.18,16.8,23.9,0,Xbox Sale,1,4.31,13,5.07,EUR,0.8936,88.4,30.45,11.08,45193.88,Launch,40.2,59.8,Autumn,Xbox Sale,Action-Adventure,Gen7
