id,name,org,family,release_date,architecture,param_count_b,context_length,is_open_source,is_multimodal,supports_function_calling,license,hf_model_id,tags,is_multimodal_or,size_tier,context_tier,age_days,org_type,is_instruct,has_code_focus
Qwen/Qwen3-0.6B,Qwen/Qwen3-0.6B,Qwen,Qwen,2025-04-27 03:40:08,transformer,0.6,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-0.6B,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'base_model:Qwen/Qwen3-0.6B-Base', 'base_model:finetune:Qwen/Qwen3-0.6B-Base', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False,tiny,very_long,387,startup_or_community,False,False
openai-community/gpt2,openai-community/gpt2,openai-community,GPT,2022-03-02 23:29:04,transformer,7.0,131072.0,True,False,False,mit,openai-community/gpt2,"['transformers', 'pytorch', 'tf', 'jax', 'tflite', 'rust', 'onnx', 'safetensors', 'gpt2', 'text-generation', 'exbert', 'en', 'doi:10.57967/hf/0039', 'license:mit', 'text-generation-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",False,xxlarge,very_long,1538,startup_or_community,True,False
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,Qwen,Qwen,2024-09-17 14:10:29,transformer,1.5,131072.0,True,False,False,apache-2.0,Qwen/Qwen2.5-1.5B-Instruct,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-1.5B', 'base_model:finetune:Qwen/Qwen2.5-1.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False,small,very_long,608,startup_or_community,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,Qwen,Qwen,2024-09-16 11:55:40,transformer,7.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen2.5-7B-Instruct,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-7B', 'base_model:finetune:Qwen/Qwen2.5-7B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False,medium,very_long,609,startup_or_community,True,False
Qwen/Qwen3-8B,Qwen/Qwen3-8B,Qwen,Qwen,2025-04-27 03:42:21,transformer,8.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-8B,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'base_model:Qwen/Qwen3-8B-Base', 'base_model:finetune:Qwen/Qwen3-8B-Base', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False,medium,very_long,387,startup_or_community,False,False
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,meta-llama,Llama,2024-07-18 08:56:00,transformer,8.0,131072.0,True,False,False,llama3.1,meta-llama/Llama-3.1-8B-Instruct,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'conversational', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'base_model:meta-llama/Llama-3.1-8B', 'base_model:finetune:meta-llama/Llama-3.1-8B', 'license:llama3.1', 'eval-results', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False,medium,very_long,669,big_tech,True,False
facebook/opt-125m,facebook/opt-125m,facebook,OPT,2022-05-11 08:25:17,transformer,7.0,131072.0,True,False,False,other,facebook/opt-125m,"['transformers', 'pytorch', 'tf', 'jax', 'opt', 'text-generation', 'en', 'license:other', 'text-generation-inference', 'region:us', 'deploy:azure']",False,xxlarge,very_long,1468,startup_or_community,False,False
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,Qwen,Qwen,2024-09-17 14:08:52,transformer,3.0,131072.0,True,False,False,other,Qwen/Qwen2.5-3B-Instruct,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-3B', 'base_model:finetune:Qwen/Qwen2.5-3B', 'license:other', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False,small,very_long,608,startup_or_community,True,False
meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,meta-llama,Llama,2024-09-18 15:12:47,transformer,1.0,131072.0,True,False,False,llama3.2,meta-llama/Llama-3.2-1B-Instruct,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'conversational', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'license:llama3.2', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False,small,very_long,607,big_tech,True,False
openai/gpt-oss-20b,openai/gpt-oss-20b,openai,GPT,2025-08-04 22:33:29,transformer,20.0,131072.0,True,False,False,apache-2.0,openai/gpt-oss-20b,"['transformers', 'safetensors', 'gpt_oss', 'text-generation', 'vllm', 'conversational', 'license:apache-2.0', 'eval-results', 'endpoints_compatible', '8-bit', 'mxfp4', 'deploy:azure', 'region:us']",False,large,long,287,startup_or_community,False,False
