id,name,org,family,release_date,architecture,param_count_b,context_length,is_open_source,is_multimodal,supports_function_calling,license,hf_model_id,tags,is_multimodal_or
Qwen/Qwen3-0.6B,Qwen/Qwen3-0.6B,Qwen,Qwen,2025-04-27 03:40:08+00:00,transformer,0.6,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-0.6B,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'base_model:Qwen/Qwen3-0.6B-Base', 'base_model:finetune:Qwen/Qwen3-0.6B-Base', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
openai-community/gpt2,openai-community/gpt2,openai-community,GPT,2022-03-02 23:29:04+00:00,transformer,7.0,131072.0,True,False,False,mit,openai-community/gpt2,"['transformers', 'pytorch', 'tf', 'jax', 'tflite', 'rust', 'onnx', 'safetensors', 'gpt2', 'text-generation', 'exbert', 'en', 'doi:10.57967/hf/0039', 'license:mit', 'text-generation-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",False
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,Qwen,Qwen,2024-09-17 14:10:29+00:00,transformer,1.5,131072.0,True,False,False,apache-2.0,Qwen/Qwen2.5-1.5B-Instruct,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-1.5B', 'base_model:finetune:Qwen/Qwen2.5-1.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,Qwen,Qwen,2024-09-16 11:55:40+00:00,transformer,7.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen2.5-7B-Instruct,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-7B', 'base_model:finetune:Qwen/Qwen2.5-7B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
Qwen/Qwen3-8B,Qwen/Qwen3-8B,Qwen,Qwen,2025-04-27 03:42:21+00:00,transformer,8.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-8B,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'base_model:Qwen/Qwen3-8B-Base', 'base_model:finetune:Qwen/Qwen3-8B-Base', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,meta-llama,Llama,2024-07-18 08:56:00+00:00,transformer,8.0,131072.0,True,False,False,llama3.1,meta-llama/Llama-3.1-8B-Instruct,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'conversational', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'base_model:meta-llama/Llama-3.1-8B', 'base_model:finetune:meta-llama/Llama-3.1-8B', 'license:llama3.1', 'eval-results', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False
facebook/opt-125m,facebook/opt-125m,facebook,OPT,2022-05-11 08:25:17+00:00,transformer,7.0,131072.0,True,False,False,other,facebook/opt-125m,"['transformers', 'pytorch', 'tf', 'jax', 'opt', 'text-generation', 'en', 'license:other', 'text-generation-inference', 'region:us', 'deploy:azure']",False
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,Qwen,Qwen,2024-09-17 14:08:52+00:00,transformer,3.0,131072.0,True,False,False,other,Qwen/Qwen2.5-3B-Instruct,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-3B', 'base_model:finetune:Qwen/Qwen2.5-3B', 'license:other', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,meta-llama,Llama,2024-09-18 15:12:47+00:00,transformer,1.0,131072.0,True,False,False,llama3.2,meta-llama/Llama-3.2-1B-Instruct,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'conversational', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'license:llama3.2', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False
openai/gpt-oss-20b,openai/gpt-oss-20b,openai,GPT,2025-08-04 22:33:29+00:00,transformer,20.0,131072.0,True,False,False,apache-2.0,openai/gpt-oss-20b,"['transformers', 'safetensors', 'gpt_oss', 'text-generation', 'vllm', 'conversational', 'license:apache-2.0', 'eval-results', 'endpoints_compatible', '8-bit', 'mxfp4', 'deploy:azure', 'region:us']",False
