Clothing_ID,Clothing_Name,Native_Name,Country,Region,Ethnic_Group,Garment_Type,Clothing_Category,Historical_Period,Primary_Fabric,Secondary_Fabric,Weaving_Technique,Embroidery_Type,Dominant_Colors,Occasion_Used,Religious_Significance,Traditional_Accessories,Climate_Adaptation,Cultural_Symbolism,Modern_Fashion_Influence,Endangered_Tradition_Status,Visual_Vibrancy_Score,Historical_Depth_Score
TG-00001,Ghagra Choli,,India,South Asia,,Loincloth,Daily,Ancient (pre-500 CE),Zari,Chanderi,Batik wax resist,Aari hook stitch,"Gold, Ivory",Wedding,Aztec solar deity,Maang Tikka,Tropical Highland,Royal lineage and clan identity,Low,Reviving,10,6
TG-00002,Kanjivaram Saree,Kanjivaram Saree,India,South Asia,Tamil Brahmin,Veil,Footwear,Iron Age,Cotton,None,Ikat,None,"Red, Temple Gold",Upanayanam,Maasai Engai sky god,Not Documented,Equatorial Rainforest,Vedic ritual purity and auspiciousness,High,Reviving,9,9
TG-00003,Panchakacham,Panchakacham,India,South Asia,Tamil Brahmin,Warrior Attire,Warrior,Meiji Period,,Silk thread,Twined weaving,Aari hook stitch,"Green, Temple Gold, Peacock Blue",Upanayanam,Unknown,Pottu,Temperate Maritime,Vedic ritual purity and auspiciousness,High,Active,3,9
TG-00004,Poots,Poots,India,South Asia,Kashmiri,Apron,Warrior,18th Century,Raffel,Pashmina,Tablet weaving,Aari hook stitch,"Forest Green, Saffron",Wedding,Aztec solar deity,Deg,Arctic Tundra,Sufi mysticism and valley heritage,None,Active,1,2
TG-00005,Innaphi,Not Documented,India,South Asia,Manipuri,Crown,Royal,Enlightenment Era,Mulberry Silk,,Drawloom,Beadwork,"Lotus Pink, Black, Sky Blue",Wedding,None,Floral headpiece,High Altitude Cold,Meitei religious cosmos and nature worship,None,Active,9,1
TG-00006,Kemu Coat,Kemu Coat,Japan,East Asia,Ainu,Kemu Kilt,Warrior,Contemporary,Cotton,Silk thread,Drawloom,N/A,"Rust Red, Indigo Blue, White",Spirit Ceremony,Not Documented,Bone necklace,Temperate Maritime,Connection to Kamuy spirits and nature,Very High,Active,10,4
TG-00007,Junihitoe,Junihitoe,Japan,East Asia,Kyoto Nobility,Robe,Daily,Medieval 1000-1400 CE,Habutae,None,Block printing,None,"Autumn Gold, Midnight Blue, Snow White",Coming of Age,None,Geta,Not Documented,Seasonal beauty and rank hierarchy,High,Active,2,9
TG-00008,Changshan,Changshan,China,East Asia,Han Chinese,Armor Suit,Royal,18th Century,Brocade,None,Backstrap loom,None,"Jade Green, Ink Black",Unknown,None,Hair pin,Tropical Humid,Confucian rank order and dynastic power,Very High,Active,4,4
TG-00009,Qipao,Qipao,China,East Asia,Han Chinese,Shirt,Tribal,Early Medieval 500-1000 CE,Silk,None,Tapestry weave,None,"Vermillion, Imperial Yellow, Jade Green",,Maya Ixchel moon goddess,Court belt,High Altitude Cold,Confucian rank order and dynastic power,High,Endangered,2,5
TG-00010,Pleated Skirt,Pleated Skirt,Not Documented,East Asia,Miao,Bridal Ensemble,Royal,Ottoman Era,Homespun cotton,Silk thread,Shibori,Mola reverse applique,"Red, Silver, Indigo Blue",New Year,Animist spirit world connection,Large silver necklace,Subarctic,Ancestral migration history encoded in embroidery,Medium,Endangered,1,5
TG-00011,Miao Silver Festival Dress,Miao Silver Festival Dress,China,East Asia,Miao,Body Wrap,Daily,Classical Antiquity,Hemp,Ramie,,Shadow work,"Red, Silver, Black",New Year,None,Large silver necklace,Island Maritime,Ancestral migration history encoded in embroidery,,Endangered,9,8
TG-00012,Pangden Apron,Pangden Apron,China,East Asia,Tibetan,Saree,Religious,Mughal Period,Yak wool,Cotton lining,Ikat,Cross-stitch,"Deep Burgundy, Saffron Yellow",Buddhist Ceremony,None,Leather boots,Subarctic,Buddhist dharma and Himalayan tribal identity,None,Endangered,7,1
TG-00013,Ceremonial Armor,Ceremonial Armor,Mongolia,Central Asia,Khalkha Mongol,Kilt,Bridal,Timurid Era,Silk,Silk thread,Kente strip loom,Kantha running stitch,"Cobalt Blue, Terracotta Orange, White",New Year,None,Flint pouch,Tropical Highland,Nomadic freedom and clan lineage,Low,Endangered,7,5
TG-00014,Toortsog Hat,,Mongolia,Central Asia,Khalkha Mongol,Headdress,Warrior,Qing Dynasty,Cotton,None,Block printing,Kantha running stitch,"Forest Green, Cobalt Blue",Naadam Festival,Christian faith and saint veneration,Snuff bottle,Hot Desert,Nomadic freedom and clan lineage,Low,Active,4,2
TG-00015,Chapan Robe,Unknown,Kazakhstan,Central Asia,Kazakh,Hat,Royal,Kazakh Khanate 15th c.,Felt,Silk thread,Resist dyeing,Goldwork couching,"Crimson, Gold, Royal Blue",Wedding,Confucian social hierarchy,Amulet bag,Tropical Highland,Tribal genealogy and nomadic prestige,Unknown,Active,6,5
TG-00016,Kymeshek Veil,Kymeshek Veil,Kazakhstan,Central Asia,Kazakh,Parka,Innerwear,Iron Age,Felt,None,Twill,Sequin applique,"Crimson, Gold, White",Wedding,Australian Dreaming ancestors,Silver earrings,Arctic Tundra,Tribal genealogy and nomadic prestige,High,Active,8,5
TG-00017,Chekmen Coat,Chekmen Coat,Kazakhstan,Central Asia,Kazakh,Apron,Religious,Ancient (pre-500 CE),Felt,Silk,Floor loom,Goldwork couching,"Gold, Crimson",Funeral,Maya Ixchel moon goddess,Silver earrings,Tropical Humid,Tribal genealogy and nomadic prestige,Low,Active,7,10
TG-00018,Parandja,Parandja,Uzbekistan,Central Asia,Uzbek,Robe,Tribal,Unknown,Brocade,None,,Goldwork suzani,"Emerald, Saffron, Electric Blue",Navruz,Shamanic world tree and axis mundi,Silk sash,Mediterranean,Silk Road prestige and Timurid court culture,None,Reviving,10,5
TG-00019,Doppa Cap,Doppa Cap,Uzbekistan,Central Asia,Uzbek,Coat,Royal,Qing Dynasty,Unknown,Velvet,Hand spinning,Shadow work,"Emerald, Saffron, Pomegranate Red",Eid,None,Bead necklace,Cold Alpine,Silk Road prestige and Timurid court culture,Low,Active,8,5
TG-00020,Ajrak Shawl,Unknown,Pakistan,South Asia,Sindhi,Shawl,Headwear,Renaissance,Block-print fabric,Not Documented,Dovetail tapestry,Cutwork,N/A,Sindhi Festival,Hindu cosmic order and divine kingship,Nose ring,Mediterranean,Indus civilization continuity and Sufi devotion,Medium,Endangered,8,4
TG-00021,Sindhi Cap,Sindhi Cap,Pakistan,South Asia,Sindhi,Dress,Court,Timurid Era,Embroidered cotton,Block-print fabric,Block printing,Aari hook stitch,"Brick Red, Black, Indigo",Sindhi Festival,Shamanic world tree and axis mundi,Silver jhumar,Subarctic,Indus civilization continuity and Sufi devotion,None,Extinct,7,7
TG-00022,Kameez Shalwar,Kameez Shalwar,Pakistan,South Asia,Sindhi,Headdress,Religious,Pre-Columbian,Silk,Cotton lining,Tie-dye,None,"Brick Red, Black",Eid,Shinto nature kami,,Subtropical Monsoon,Indus civilization continuity and Sufi devotion,None,Endangered,2,8
TG-00023,Ghaghra,Ghaghra,Pakistan,South Asia,Sindhi,Veil,Daily,Ottoman Era,Silk,None,Ikat,Goldwork couching,"Indigo, Brick Red",Sindhi Festival,Australian Dreaming ancestors,Silver jhumar,Temperate Maritime,Indus civilization continuity and Sufi devotion,Medium,Endangered,8,5
TG-00024,Muslin Saree,Muslin Saree,Bangladesh,South Asia,Bengali Muslim,Sarong,Ritual,Mughal to British,Jamdani cotton,Voile,Tablet weaving,Mola reverse applique,"Golden Yellow, Pink, Emerald Green",Wedding,Animist spirit world connection,Gold necklace,Tropical Humid,Deltaic heritage and Bengali cultural pride,Medium,Active,5,6
TG-00025,Panjabi,Panjabi,Bangladesh,South Asia,Bengali Muslim,Cape,Innerwear,Early 20th Century,Voile,Silk,Jamdani loom,Blackwork,"Emerald Green, Golden Yellow",Not Documented,Hindu cosmic order and divine kingship,Tikka,High Altitude Cold,Deltaic heritage and Bengali cultural pride,Low,Active,10,9
TG-00026,Ulkusha Shirt,,Sri Lanka,South Asia,Kandyan Sinhalese,Loincloth,Tribal,Enlightenment Era,Batik,None,Handloom,Suzani chain stitch,"White, Elephant Grey, Red",Perahera Festival,Zoroastrian fire and purity,Kandyan necklace,Cold Continental,Buddhist kingship and royal Kandyan heritage,Low,Reviving,2,8
TG-00027,Kandyan Hat,Not Documented,Sri Lanka,South Asia,Kandyan Sinhalese,Headdress,,Colonial Era 1500-1900,Silk,Batik,,Sequin applique,"White, Gold",Wedding,Christian faith and saint veneration,Ear disc,Hot Semi-Arid,Buddhist kingship and royal Kandyan heritage,Low,Endangered,2,8
TG-00028,Osariya,Osariya,Sri Lanka,South Asia,Kandyan Sinhalese,Jacket,Innerwear,Ottoman Era,Cotton,Silk,Brocade,Smocking,"Elephant Grey, Red, White",Perahera Festival,Hindu cosmic order and divine kingship,Hair comb,Tropical,Buddhist kingship and royal Kandyan heritage,Low,Endangered,8,7
TG-00029,Haku Patasi,Unknown,Nepal,South Asia,Newar,Cape,Court,Classical Antiquity,Dhaka fabric,Unknown,Brocade,Satin stitch,"Green, Black",Indra Jatra,Zoroastrian fire and purity,Gold necklace,High Valley,Newar Buddhist cosmology and artisan identity,Medium,Endangered,10,10
TG-00030,Surwal,,Nepal,South Asia,Newar,Coat,Footwear,Renaissance,Cotton,None,Hand spinning,,"Red, Green",Dashain,Buddhist merit and dharma symbolism,Yomari feast dress,Hot Semi-Arid,Newar Buddhist cosmology and artisan identity,Low,Active,2,5
TG-00031,Daura Suruwal,Daura Suruwal,Nepal,South Asia,Newar,Robe,Bridal,Iron Age,Wool,None,Card weaving,Cross-stitch,"Red, Green",Indra Jatra,Australian Dreaming ancestors,Gold necklace,Hot Semi-Arid,Newar Buddhist cosmology and artisan identity,Low,Unknown,3,10
TG-00032,Rato Cholo,Rato Cholo,Nepal,South Asia,Newar,Veil,Royal,Victorian,Wool,None,Dhaka handloom,None,"Green, Black",Wedding,Christian faith and saint veneration,Ear ornament,Cold Alpine,Newar Buddhist cosmology and artisan identity,Low,Extinct,10,10
TG-00033,Pha Nung,Pha Nung,Thailand,Southeast Asia,Central Thai,Body Wrap,Daily,Rattanakosin 1782-present,Thai silk,Cotton lining,Knotted pile,Beadwork,"Emerald, Gold, Royal Blue",Wedding,Australian Dreaming ancestors,Gold collar,Equatorial Rainforest,Buddhist merit and royal Chakri dynasty prestige,High,Active,8,9
TG-00034,Chakkri Court Dress,Chakkri Court Dress,Thailand,Southeast Asia,Central Thai,Blouse,Royal,Ottoman Era,Gold brocade,None,Narrow strip loom,Silk ribbon embroidery,"Emerald, Gold, Fuchsia",Wedding,Theravada Buddhism,Gold collar,Tropical,Buddhist merit and royal Chakri dynasty prestige,Very High,Active,7,9
TG-00035,Sabai Cloth,Sabai Cloth,Thailand,Southeast Asia,Central Thai,Dance Costume,Ritual,Timurid Era,Cotton,Thai silk,Screen printing,Cutwork,"Emerald, Royal Blue, Fuchsia",Wedding,Christian faith and saint veneration,Unknown,Subtropical Monsoon,Buddhist merit and royal Chakri dynasty prestige,Very High,Extinct,4,5
