likes,shares,comments,views,watch_time_sec,caption_length,hashtags,posting_hour,creator_followers,popularity_score
28356,10586,1495,670587,18.47,31,17,2,9906920,27.76
8503,475,428,442517,73.04,148,6,22,9142700,12.95
32528,9717,5296,439998,2.77,45,13,10,4662007,46.17
11817,4539,294,163132,46.83,96,11,19,4438023,48.35
19129,4497,561,846435,110.83,25,17,9,6067328,21.41
39819,1755,5333,605497,93.22,25,7,3,6377559,31.98
41254,17273,1514,291576,43.92,176,8,22,1198035,95.82
124022,33700,6540,638820,56.55,74,20,22,9344166,100.0
48043,20322,7510,230383,29.03,13,10,12,4492046,100.0
4947,2335,870,69503,39.13,172,15,12,7698356,61.13
13014,1702,1489,149911,33.0,154,13,18,6700928,39.46
27945,13938,2916,379680,12.73,17,3,4,2684152,58.46
172227,52053,13783,830655,72.31,124,16,8,9281690,100.0
255737,87804,6991,902692,106.41,197,8,20,5707297,100.0
11135,974,62,117070,87.21,189,8,16,2997381,36.46
146241,63842,9241,532442,77.4,160,6,4,6273333,100.0
45459,21693,8404,799650,110.38,158,10,15,326865,57.42
32806,14453,5484,117401,38.29,19,7,18,1321424,100.0
19983,8190,3910,89914,64.86,37,4,21,7974015,100.0
168247,23534,29464,992942,51.93,59,17,23,3374854,85.04
75065,37354,9888,747681,53.7,137,14,3,4159266,85.33
6733,136,760,235712,71.44,6,2,22,987837,15.85
7095,180,492,240162,62.67,76,15,6,9046944,14.46
30512,13497,3580,138839,30.67,126,13,6,1582624,100.0
20460,3756,1742,101739,103.93,18,20,20,1651277,100.0
8069,1422,1396,63656,31.34,53,17,14,2351968,67.27
27969,6619,4909,442474,10.9,145,3,1,9069660,37.01
12519,697,1902,876738,29.89,109,15,15,3586184,8.27
114524,4435,9035,906751,118.27,72,14,9,7096987,49.45
210116,104586,23821,730529,86.77,44,6,9,3652514,100.0
10931,3013,1648,61424,8.75,154,15,16,8910917,100.0
4376,1132,748,165180,10.09,22,7,12,2011463,16.56
264813,34596,32024,987435,75.09,112,18,18,8770938,100.0
93267,10267,13491,331837,30.16,106,4,21,5033215,100.0
48764,18452,933,479534,56.08,149,3,2,9020108,65.88
35040,2624,2559,223608,10.12,67,11,9,2646652,52.67
115713,41047,14380,459569,118.49,172,16,0,9304782,100.0
87991,5346,15507,314021,33.21,32,17,4,4569344,100.0
54793,19814,2449,295542,76.84,72,16,15,4213215,100.0
259537,9055,33398,949414,99.86,16,0,10,2194889,100.0
196533,17525,17915,668161,85.27,148,0,3,1262482,100.0
263721,119445,29375,991057,100.48,154,17,4,7210724,100.0
2959,558,553,133736,116.72,15,11,6,4186514,23.37
27844,10922,4939,699430,49.95,163,4,7,2726427,33.87
205620,90862,2021,838842,88.91,90,13,21,4163655,100.0
15719,5558,1251,279866,6.57,125,7,6,7722706,35.1
36126,14440,1783,366743,4.79,54,12,10,4674283,63.2
27312,10622,2006,906439,62.11,178,17,10,463160,25.62
31996,4415,3782,121044,118.06,14,3,19,7290870,100.0
80230,13133,9885,362579,62.35,103,18,6,4273634,100.0
10053,108,1864,46642,65.54,189,6,11,7236069,81.95
20952,9662,2650,73472,80.28,36,9,16,5189035,100.0
89825,18609,5627,699387,17.02,112,12,21,2919794,60.03
112991,23612,18934,645514,37.86,58,13,18,5406544,97.37
67356,22972,7050,487675,95.66,193,5,21,1422733,95.14
47472,15197,3340,297671,98.57,197,7,21,5208074,100.0
57476,4724,805,235652,118.1,161,2,14,6953266,83.2
179009,18844,25202,929281,60.34,67,4,20,93126,85.18
213229,82588,5498,936121,52.17,50,16,14,842624,100.0
48092,20472,4521,584582,96.57,175,16,17,9990132,66.93
95021,42455,11826,332811,86.87,134,13,17,7481288,100.0
52836,22832,4901,940890,90.71,168,8,16,8130288,48.48
52176,11767,7520,657293,29.67,90,10,17,1351968,45.33
7802,1542,271,145195,27.25,111,13,10,9103604,25.49
63806,7104,5546,488657,108.77,154,0,18,6381834,60.04
5857,1068,889,500249,102.71,112,17,23,9162679,16.08
155134,18315,7413,838822,53.43,12,12,10,6783408,70.79
43944,10503,1313,759459,75.43,11,12,18,9469026,34.24
12417,4034,390,695305,56.48,17,8,12,5492166,15.44
31499,5524,5560,222041,34.83,112,8,2,7890539,75.51
4640,164,884,20424,28.46,22,20,1,520696,88.77
81372,34275,10265,995840,30.15,126,3,18,3656938,61.51
103809,40047,3915,487723,73.66,196,3,5,5218467,100.0
20173,9383,2365,113449,109.15,101,12,22,3327521,100.0
14498,6045,759,79788,84.27,82,19,3,9494872,100.0
17982,4873,2409,820752,10.14,170,10,0,7047516,13.53
131217,29186,9923,862376,107.21,122,4,13,2955187,83.63
124131,40804,15529,769540,110.51,128,14,13,9940174,100.0
29129,3795,5454,281533,34.91,120,7,14,9560590,52.19
130431,22803,13224,640079,40.35,129,6,11,4334534,95.91
32520,9824,5743,356971,67.58,137,6,2,4049382,64.56
96557,27232,5007,755153,58.18,187,15,14,289393,72.43
9311,1938,488,97673,80.35,99,15,17,8907491,50.69
48096,18060,3342,360555,84.94,74,9,8,3867886,92.21
27750,4568,4158,126616,114.2,181,5,6,3630431,100.0
116510,42531,22770,774583,63.91,77,3,6,4970290,100.0
27360,4325,3914,238633,16.94,16,1,17,4901339,55.05
207559,66949,31506,731395,14.11,8,18,9,7875273,100.0
69152,6938,1038,502068,113.05,127,3,2,6722855,54.22
16237,5170,250,515733,19.61,149,9,2,4164053,18.65
21360,4569,2589,124305,74.97,138,12,14,7427725,94.24
80921,40065,5223,311897,75.28,161,3,6,3540515,100.0
55943,4864,2175,277601,10.86,5,13,14,9962598,64.79
46556,5746,6650,492838,84.95,121,2,21,3916301,49.17
84022,33416,10083,968890,96.86,55,13,3,9136340,69.32
46650,21231,7752,235829,10.43,47,9,19,9549809,100.0
90515,6420,12608,966040,84.57,74,16,17,8284609,43.63
15301,451,1365,459123,40.03,69,0,2,3840814,13.88
178505,52096,33987,707153,119.95,177,8,18,675075,100.0
183517,44144,24232,800277,110.1,51,18,13,8249889,100.0
14012,2943,947,95774,14.34,46,10,13,8312690,68.84
61113,12602,9368,302318,6.33,27,10,8,5423734,100.0
35443,7373,3733,121652,118.6,173,17,14,6933243,100.0
3666,686,559,56937,75.8,199,1,6,4480560,39.87
27644,4177,4886,575998,59.2,12,20,19,4014845,29.13
41631,11652,4691,744361,13.0,34,14,3,2583306,32.87
